"track_n","line","lyric","track_title","clean_track_title"
1,2,"Uhh.. uhh","Good Morning","good morning"
1,3,"Uhh.. uhh","Good Morning","good morning"
1,4,"Good morning!","Good Morning","good morning"
1,5,"Good morning!","Good Morning","good morning"
1,6,"Good morning!","Good Morning","good morning"
1,7,"Good morning!","Good Morning","good morning"
1,8,"Wake up Mr. West, Mr. West","Good Morning","good morning"
1,9,"Mr. Fresh, Mister, by himself he's so impressed","Good Morning","good morning"
1,10,"I mean damn, did you even see the test?","Good Morning","good morning"
1,11,"You got D's, muthafucka D's, Rosie Perez","Good Morning","good morning"
1,12,"And yer ass barely passed any and every class","Good Morning","good morning"
1,13,"Looking at every ass, cheated on every test","Good Morning","good morning"
1,14,"I guess, this is my dissertation","Good Morning","good morning"
1,15,"Homie this shit is basic, welcome to Graduation","Good Morning","good morning"
1,16,"Good morning!","Good Morning","good morning"
1,17,"Good morning!","Good Morning","good morning"
1,18,"Good morning!","Good Morning","good morning"
1,19,"Good morning!","Good Morning","good morning"
1,20,"Good morning, on this day we become legendary","Good Morning","good morning"
1,21,"Everything we dreamed of","Good Morning","good morning"
1,22,"I'm like the fly Malcolm X, buy any jeans necessary","Good Morning","good morning"
1,23,"Detroit Red cleaned up","Good Morning","good morning"
1,24,"From the streets to the league, from an eighth to a key","Good Morning","good morning"
1,25,"But you graduate when you make it up outta the streets","Good Morning","good morning"
1,26,"From the moments of pain, look how far we done came","Good Morning","good morning"
1,27,"Haters saying you changed, now you doing your thang","Good Morning","good morning"
1,28,"Good morning!","Good Morning","good morning"
1,29,"Good morning!","Good Morning","good morning"
1,30,"Good morning!","Good Morning","good morning"
1,31,"Good morning!","Good Morning","good morning"
1,32,"Good morning, look at the valedictorian","Good Morning","good morning"
1,33,"Scared of the future while I hop in the DeLorean","Good Morning","good morning"
1,34,"Scared to face the world, complacent career student","Good Morning","good morning"
1,35,"Some people graduate, but be still stupid","Good Morning","good morning"
1,36,"They tell you read this, eat this, don't look around","Good Morning","good morning"
1,37,"Just peep this, preach this, teach us, Jesus","Good Morning","good morning"
1,38,"Okay look up now, they done stole yo' streetness","Good Morning","good morning"
1,39,"After all of that you received this","Good Morning","good morning"
1,40,"Good morning!Hustlers that's if you're still living, get on down","Good Morning","good morning"
1,41,"Every time that we hear them","Good Morning","good morning"
1,42,"Good morning!Hustlers that's if you're still living, get on down","Good Morning","good morning"
1,43,"Every time that we hear them","Good Morning","good morning"
1,44,"Good morning!Hustlers that's if you're still living, get on down","Good Morning","good morning"
1,45,"Every time that we hear them","Good Morning","good morning"
1,46,"Good morning!Hustlers that's if you're still living, get on down","Good Morning","good morning"
1,47,"Get on down","Good Morning","good morning"
1,48,"Get, get on down","Good Morning","good morning"
1,49,"Get on down","Good Morning","good morning"
1,50,"Get, get on down","Good Morning","good morning"
2,1,"Did you realize","Champion","champion"
2,2,"That you were a champion in their eyes?","Champion","champion"
2,3,"Yes, I did","Champion","champion"
2,4,"So I packed it up and brought it back to the crib","Champion","champion"
2,5,"Just a little something, show you how we live","Champion","champion"
2,6,"Everybody want it but it ain't that serious","Champion","champion"
2,7,"Mhm, that's that shit","Champion","champion"
2,8,"So if you gon' do it, do it just like this","Champion","champion"
2,9,"Did you realize","Champion","champion"
2,10,"That you were a champion in their eyes?","Champion","champion"
2,11,"You don't see just how wild the crowd is","Champion","champion"
2,12,"You don't see just how fly my style is","Champion","champion"
2,13,"I don't see why I need a stylist","Champion","champion"
2,14,"When I shop so much I can speak Italian","Champion","champion"
2,15,"I don't know, I just want it better for my kids","Champion","champion"
2,16,"And I ain't sayin' we was from the projects","Champion","champion"
2,17,"But every time I wanted layaway or a deposit","Champion","champion"
2,18,"My dad'd say ""when you see clothes, close your eyelids""We was sort of like Will Smith and his son","Champion","champion"
2,19,"In the movie, I ain't talkin' 'bout the rich ones","Champion","champion"
2,20,"Cause every summer, he'd get some","Champion","champion"
2,21,"Brand new harebrained scheme to get rich from","Champion","champion"
2,22,"And I don't know what he did for dough","Champion","champion"
2,23,"But he'd send me back to school with a new wardrobe","Champion","champion"
2,24,"Did you realize","Champion","champion"
2,25,"That you were a champion in their eyes?","Champion","champion"
2,26,"I think he did","Champion","champion"
2,27,"When he packed it up and brought it back to the crib","Champion","champion"
2,28,"Just a little somethin', show you how we live","Champion","champion"
2,29,"Everything I wanted, man it seem so serious","Champion","champion"
2,30,"Mhm, that's that shit","Champion","champion"
2,31,"So if you gon' do it, do it just like this","Champion","champion"
2,32,"Did you realize","Champion","champion"
2,33,"That you were a champion in their eyes?","Champion","champion"
2,34,"When it feel like living's harder than dyin'","Champion","champion"
2,35,"For me givin' up's way harder than tryin'Lauryn Hill said her heart was in Zion","Champion","champion"
2,36,"I wish her heart still was in rhymin''Cause who the kids gon' listen to, huh?","Champion","champion"
2,37,"I guess me if it isn't you","Champion","champion"
2,38,"Last week I paid a visit to the institute","Champion","champion"
2,39,"They got the dropout keepin' kids in the school","Champion","champion"
2,40,"I guess I cleaned up my act like Prince'd do","Champion","champion"
2,41,"If not for pleasure, then at least for the principle","Champion","champion"
2,42,"They got the CD, they got to see me","Champion","champion"
2,43,"Drop gems like I dropped out of PE","Champion","champion"
2,44,"They used to feel invisible","Champion","champion"
2,45,"Now they know they invincible","Champion","champion"
2,46,"Did you realize","Champion","champion"
2,47,"That you were a champion in their eyes?","Champion","champion"
2,48,"This is the story of a champion","Champion","champion"
2,49,"Runners on their mark and they pop their guns","Champion","champion"
2,50,"Stand up, stand up, here he comes","Champion","champion"
2,51,"Tell me what it takes to be number one","Champion","champion"
2,52,"Tell me what it takes to be number one","Champion","champion"
2,53,"This is the story of a champion","Champion","champion"
2,54,"Runners on their mark and they pop their guns","Champion","champion"
2,55,"Stand up, stand up, here he comes","Champion","champion"
2,56,"Tell me what it takes to be number one","Champion","champion"
2,57,"Tell me what it takes to be number one","Champion","champion"
2,58,"Did you realize","Champion","champion"
2,59,"That you were a champion in their eyes?","Champion","champion"
2,60,"Yes I did","Champion","champion"
2,61,"So I packed it up and brought it back to the crib","Champion","champion"
2,62,"Just a little somethin', show you how we live","Champion","champion"
2,63,"Everybody want it, but it ain't that serious","Champion","champion"
2,64,"Mhm, that's that shit","Champion","champion"
2,65,"So if you gon' do it, do it just like this... like this","Champion","champion"
2,66,"Did you realize","Champion","champion"
2,67,"That you were a champion in their eyes?","Champion","champion"
3,2,"Work it, make it, do it, makes us","Stronger","stronger"
3,3,"Harder, better, faster, stronger","Stronger","stronger"
3,4,"N-now th-that that don't kill me","Stronger","stronger"
3,5,"Can only make us stronger","Stronger","stronger"
3,6,"I need you to hurry up now","Stronger","stronger"
3,7,"‘Cause I can't wait much longer","Stronger","stronger"
3,8,"I know I got to be right now","Stronger","stronger"
3,9,"‘Cause I can't get much wronger","Stronger","stronger"
3,10,"Man, I've been waiting all night now","Stronger","stronger"
3,11,"That's how long I been on ya(Work it harder, make it better","Stronger","stronger"
3,12,"Do it faster, makes us stronger)(I need you right now!)(More than ever, hour after hour","Stronger","stronger"
3,13,"Work–)","Stronger","stronger"
3,14,"(I need you right now!)","Stronger","stronger"
3,15,"Let's get lost tonight","Stronger","stronger"
3,16,"You could be my black Kate Moss tonight","Stronger","stronger"
3,17,"Play secretary, I'm the boss tonight","Stronger","stronger"
3,18,"And you don't give a fuck what they all say, right?","Stronger","stronger"
3,19,"Awesome, the Christian in Christian Dior","Stronger","stronger"
3,20,"Damn, they don't make 'em like this anymore","Stronger","stronger"
3,21,"I ask, ‘cause I'm not sure","Stronger","stronger"
3,22,"Do anybody make real shit anymore?","Stronger","stronger"
3,23,"Bow in the presence of greatness‘Cause right now, thou hast forsaken us","Stronger","stronger"
3,24,"You should be honored by my lateness","Stronger","stronger"
3,25,"That I would even show up to this fake shit","Stronger","stronger"
3,26,"So go ahead, go nuts, go apeshit!'Specially in my Pastellé, on my Bape shit","Stronger","stronger"
3,27,"Act like you can't tell who made this","Stronger","stronger"
3,28,"New Gospel, homie, take six","Stronger","stronger"
3,29,"And take this, haters!","Stronger","stronger"
3,30,"N-now th-that that don't kill me","Stronger","stronger"
3,31,"Can only make me stronger","Stronger","stronger"
3,32,"I need you to hurry up now","Stronger","stronger"
3,33,"‘Cause I can't wait much longer","Stronger","stronger"
3,34,"I know I got to be right now","Stronger","stronger"
3,35,"‘Cause I can't get much wronger","Stronger","stronger"
3,36,"Man, I've been waiting all night now","Stronger","stronger"
3,37,"That's how long I been on ya(Work it harder, make it better","Stronger","stronger"
3,38,"Do it faster, makes us stronger)(I need you right now!)(More than ever, hour after hour","Stronger","stronger"
3,39,"Work–)","Stronger","stronger"
3,40,"(I need you right now!) Me likey!","Stronger","stronger"
3,41,"I don't know if you got a man or not","Stronger","stronger"
3,42,"If you made plans or not","Stronger","stronger"
3,43,"If God put me in your plans or not","Stronger","stronger"
3,44,"I'm trippin', this drink got me saying a lot","Stronger","stronger"
3,45,"But I know that God put you in front of me","Stronger","stronger"
3,46,"So how the hell could you front on me?","Stronger","stronger"
3,47,"There's a thousand you's, there's only one of me","Stronger","stronger"
3,48,"I'm trippin', I'm caught up in the moment, right?‘Cause it's Louis Vuitton Don night","Stronger","stronger"
3,49,"So we gon' do everything that Kan like","Stronger","stronger"
3,50,"Heard they'd do anything for a Klondike","Stronger","stronger"
3,51,"Well, I'd do anything for a blonde dyke","Stronger","stronger"
3,52,"And she'll do anything for the limelight","Stronger","stronger"
3,53,"And we'll do anything when the time's right","Stronger","stronger"
3,54,"Uh, baby, you're makin' it–(Harder, better, faster, stronger)","Stronger","stronger"
3,55,"N-now th-that that don't kill me","Stronger","stronger"
3,56,"Can only make me stronger","Stronger","stronger"
3,57,"I need you to hurry up now","Stronger","stronger"
3,58,"‘Cause I can't wait much longer","Stronger","stronger"
3,59,"I know I got to be right now","Stronger","stronger"
3,60,"‘Cause I can't get much wronger","Stronger","stronger"
3,61,"Man, I've been waiting all night now","Stronger","stronger"
